name,Lesson1,rate1,Lesson2,rate2,Lesson3,rate3,Lesson4,rate4,Lesson5,rate5,Lesson6,rate6,Lesson7,rate7,Lesson8,rate8,Lesson9,rate9,Lesson10,rate10,Lesson11,rate11,Lesson12,rate12,Lesson13,rate13,Lesson14,rate14,Lesson15,rate15,Lesson16,rate16,Lesson17,rate17,Lesson18,rate18,Lesson19,rate19,Lesson20,rate20
杨红霞,[0, 1.1671740678892752],[0, 1.2477945170409903],[0, 1.645144916683532],[0, 1.1499745460012825],[0, 0.9530491189298568],[0, 1.782255695107916],[0, 1.7483892551190134],[0, 1.3620510916449469],[0, 1.452413634969472],[0, 1.293169936267058],[0, 0.933553378186715],[0, 0.9525071710825099],[0, 1.1174211899133415],[0, 1.4513591834735984],[0, 1.521062399164778],[0, 1.7388421063195225],[0, 1.0327669957494592],[0, 1.6363099926503617],[0, 1.3441123628915816],[0, 1.243090860075874]
陈强,[0, 1.7005823115932952],[0, 1.1924313442375634],[0, 1.1961701081472866],[0, 1.3547864909200207],[0, 1.2978878316848919],[0, 1.202935083544223],[1, 1.4500449325749725],[0, 1.4365380072351832],[0, 1.3585891958956675],[0, 0.994252041188539],[0, 1.3384577256809547],[0, 1.5484175232868322],[0, 1.4559018959847783],[0, 1.1207019371583877],[0, 1.4958605230133362],[0, 1.7781620274666348],[1, 1.0202682121407793],[0, 1.199235304410133],[0, 1.5913045090762412],[0, 1.6656721409341773]
王淑珍,[0, 1.6793347981497022],[0, 1.333826070172247],[0, 1.673513892884909],[0, 1.3047171995987927],[0, 1.800710450108677],[0, 1.5734361459767325],[1, 1.6601706444939222],[0, 1.6405428997482283],[0, 0.9352129996710117],[1, 1.0626750128777298],[0, 1.7450636864858664],[0, 1.8337758347776587],[0, 1.5290190538386785],[0, 1.2652230824385802],[0, 0.9723086800675351],[0, 1.7065390885539542],[0, 1.727773289091567],[0, 1.550977661810993],[0, 1.649865097730713],[0, 1.550684411832742]
徐英,[0, 1.1887187979642453],[0, 1.3812802951735328],[0, 1.6444082652239322],[0, 0.9315528720981727],[0, 0.8358095546544944],[0, 0.8660798686370527],[0, 1.0902316496201174],[0, 1.375284486551205],[0, 1.0747947764170456],[0, 0.9304449865298915],[0, 1.3556996112280242],[0, 1.2098365601934304],[0, 0.7295167461704215],[0, 1.2942853293141616],[0, 1.243758775308334],[0, 0.9753126227242619],[0, 1.1510505165702418],[0, 1.3444101897770855],[0, 0.9819934716061963],[0, 1.3447065950480468]
曾静,[0, 1.8090048153109253],[1, 1.3884764309332152],[0, 1.9225369111625572],[0, 1.170498716385838],[0, 1.4826864884228308],[0, 1.8183839337159164],[1, 1.6982763677475285],[0, 1.4602908581197296],[0, 1.3529281954702843],[0, 1.7195170477535946],[1, 1.9101192641250502],[1, 1.799086888466495],[0, 1.5137959169018964],[0, 2.004719755371397],[1, 1.1488447896292093],[0, 1.9759491265762978],[1, 1.8541993766060363],[1, 1.1193204777110406],[0, 1.9017148024341277],[1, 1.9583655122624584]
滕桂芝,[0, 1.4570978508940569],[0, 1.4467354759913889],[0, 0.8783705267574922],[0, 1.6047712173187763],[0, 1.4802193607561978],[0, 1.04452792243365],[0, 1.5627166034209063],[0, 1.3203007046981852],[0, 0.8980009895605908],[0, 1.6065740864783833],[0, 1.5801274770776583],[0, 1.4896202883703333],[0, 0.7929906010147898],[0, 1.0631381880280772],[0, 0.8887387602335189],[0, 0.8040874090905353],[0, 1.117554611536224],[0, 1.3688082553746879],[0, 1.3359645211975528],[0, 0.7425787676052847]
洪丹丹,[0, 1.3061337340708357],[0, 1.102606098942264],[1, 1.8050293540815177],[0, 1.5744228438781565],[0, 1.2692659196328036],[0, 1.852254426359007],[0, 1.493435053859751],[0, 1.6949565035965097],[0, 1.6703308263205963],[1, 1.6680239818103209],[0, 1.8761354468828237],[0, 1.9507715435015274],[0, 1.7057895235051674],[1, 1.2644265737099072],[0, 1.770408182197165],[0, 1.5855027703191045],[0, 1.1248992090340058],[0, 1.88194642986499],[1, 1.2663044078995846],[0, 1.4934563570049773]
张桂珍,[0, 1.2719268711678722],[0, 1.1796738255991879],[0, 0.9589537271354148],[0, 1.2757201341300834],[0, 1.7720000058093746],[0, 1.1472686536181713],[0, 1.3685151641321944],[0, 1.7297011991403473],[0, 1.047608688100614],[0, 1.083740479756224],[0, 0.927154874602259],[0, 1.645798685230702],[0, 1.538742257803826],[0, 1.269035378912032],[0, 1.2938520104086197],[0, 1.7903211826166388],[0, 1.2155052967399607],[0, 1.6603554726020433],[0, 0.8437339756626767],[0, 0.9033462699854723]
慕秀兰,[0, 1.6313998766350792],[0, 0.8523791359964389],[0, 1.5910244822121515],[0, 1.0444496511212553],[0, 1.3664284381313168],[0, 1.1558983181268194],[0, 1.552882924088495],[0, 0.8857771455566663],[0, 1.0187231610427478],[0, 1.498390566497562],[0, 1.5990228016573698],[0, 1.1028700740394917],[0, 1.629183123552444],[0, 0.6941566294620269],[0, 1.4006040282434746],[0, 1.0828177529115859],[0, 1.3683508392645272],[0, 1.1215750822560575],[0, 1.5443593156127648],[0, 1.1713140429546467]
林凤兰,[0, 0.6477664990562422],[0, 1.1260044569287484],[0, 1.101892309458566],[0, 1.1584164541278517],[0, 0.833470539657096],[0, 1.0331107050515094],[0, 0.7386686140649326],[0, 1.2403687372681451],[0, 0.6697565951991327],[0, 1.4124787013720794],[0, 1.456914225443665],[0, 0.9230974339250869],[0, 0.7382577921384943],[0, 0.6025661764458405],[0, 0.8900170368420875],[0, 1.4057023108095],[0, 0.8491020166124507],[0, 0.5900767109880455],[0, 0.9094297614272885],[0, 1.256101553491618]
强洋,[0, 1.1118206805760988],[0, 1.5819743639699386],[0, 1.4887845962970365],[0, 1.1667552819096034],[0, 1.362313432251919],[0, 1.5450415802809503],[0, 1.6590788904435199],[0, 1.2211248338825489],[0, 1.1954741174274586],[0, 0.8874206376701294],[0, 1.4919241790002098],[0, 1.5840644885715063],[0, 1.4189176888178547],[0, 1.6341544898328064],[1, 1.022929575985593],[0, 1.5163888688243659],[0, 1.6273569235606966],[0, 1.3673138263805158],[1, 1.386020394873703],[0, 1.711159056243804]
潘佳,[0, 0.763398092964858],[0, 1.4179555974023443],[0, 0.8151740207985226],[0, 1.0927158514192299],[0, 1.0022832483584434],[0, 0.8448301852409268],[0, 0.6996937451715418],[0, 1.0391330537070729],[0, 1.2516144416768538],[0, 0.6635993308999975],[0, 0.7439173917683873],[0, 0.9408753907993447],[0, 1.265738897279479],[0, 0.9073940972755069],[0, 1.3038548330764042],[0, 1.1502717235773638],[0, 0.8168808955333386],[0, 0.8541856896605582],[0, 0.9980403188182952],[0, 0.5821106878965633]
傅娜,[0, 0.7761809328237091],[0, 0.8034247625189501],[0, 1.3678957006734276],[0, 1.264176115271055],[0, 1.5035915569834213],[0, 1.4589574699418129],[0, 0.9853945291507825],[0, 1.3118028913616542],[0, 1.200950186697828],[0, 1.1434151551514171],[0, 0.76815269648332],[0, 0.8011938438775023],[0, 1.3159817216528613],[0, 1.3267139861998491],[0, 1.575302549618561],[0, 0.602226220137697],[0, 1.4735067427985253],[0, 0.7502202002826561],[0, 1.0627508826159873],[0, 1.1937043644026042]
林燕,[0, 100],[1, 100],[1, 1.2550622340696655],[1, 100],[0, 0.6754614698145587],[0, 0.70007871907752],[0, 100],[1, 100],[1, 100],[1, 100],[1, 100],[0, 100],[1, 100],[0, 100],[1, 0.9397970655852831],[0, 100],[0, 100],[1, 100],[1, 1.0724598813492023],[0, 100]
韩敏,[0, 1.1516833919571154],[0, 1.2893051618709384],[0, 0.8744883696707676],[0, 0.8132027997652094],[0, 1.2909994451686049],[0, 1.0687326188644697],[0, 1.6470390915547148],[0, 0.8977962944285671],[0, 1.6321434476011296],[0, 1.1989842808027142],[0, 1.6195419091520251],[0, 0.8082745773306043],[0, 0.6997967198340367],[0, 0.719884420072282],[0, 1.0837698489739012],[0, 1.6555689050975004],[0, 1.4554403643278353],[0, 1.4300967321012608],[0, 0.7162654231866326],[0, 1.2083105402042333]
王建军,[0, 1.1772248453423875],[0, 1.3104200683237806],[0, 1.0892512624354833],[0, 0.8235047742659466],[0, 1.2083570288990155],[0, 1.245730445457386],[0, 0.7387363844058844],[0, 1.3869459756574027],[0, 1.5967088217301888],[0, 1.4126999938269602],[0, 0.783815500342187],[0, 0.6866406711706311],[0, 1.3086785318444223],[0, 0.6997850114594055],[0, 1.1981693453172984],[0, 0.9803778114001096],[0, 0.9479479006086925],[0, 1.4666702112866576],[0, 1.5125075739294074],[0, 1.6027361435689174]
罗慧,[0, 1.0632717177671043],[0, 1.043950335098689],[0, 1.031300720158074],[0, 0.8151544003198112],[0, 1.4011051632268972],[0, 1.321082900083403],[0, 1.5510565389287019],[0, 0.9862272618896905],[0, 1.4546386536414424],[0, 0.7975358266451221],[0, 1.1918357736459446],[0, 1.46058847019053],[0, 1.3698460727133543],[0, 1.313360535588453],[0, 1.2141429405878257],[0, 1.0487072295252102],[0, 1.2667088119210401],[0, 1.5315592581798496],[0, 1.1759266520752987],[0, 1.5715306765770802]
李建,[0, 0.9983365700433554],[0, 0.8698884801660817],[0, 1.109182695557973],[0, 0.8625024557497779],[0, 0.5065687118006975],[0, 0.8738249867742218],[0, 1.3156213154122747],[0, 0.5676663863775793],[0, 1.0257141821548106],[0, 0.7683887098963643],[0, 0.6644162402512998],[0, 1.0647855754448246],[0, 0.7063953887880814],[0, 0.9088426170991927],[0, 1.199563951225029],[0, 1.0597164590132144],[0, 0.5885025308834898],[0, 1.4607950982468796],[0, 0.7132082557919086],[0, 0.47859599133958275]
刘丹,[0, 1.8586401841507865],[0, 1.4926870765255775],[0, 1.2714876345463675],[1, 1.0667755493047166],[0, 1.785392123425328],[0, 1.877326961574328],[0, 1.2841652632488327],[0, 1.6250883738731448],[0, 0.9695037143933523],[0, 0.9894696385760297],[0, 1.1173110912721318],[0, 0.923250277521036],[1, 1.721201327137389],[0, 0.899257167649649],[0, 1.198537339150048],[0, 1.3789999369202013],[0, 1.6761215122074407],[0, 1.1126072104227198],[1, 1.465439534079879],[0, 1.065917746799348]
李秀芳,[0, 0.6401669109670819],[0, 0.5752572449840757],[0, 1.1803755635517312],[0, 1.072876939804885],[0, 1.1906498500352733],[0, 0.6326339261046651],[0, 0.47258773343652427],[0, 0.6735651055256021],[0, 1.4039815960516342],[0, 0.9043862473093858],[0, 1.2907378469414819],[0, 0.6785340295476147],[0, 0.7308085382121438],[0, 0.8387892234093082],[0, 1.0060189069080323],[0, 1.127567463392027],[0, 1.0640918005132343],[0, 1.0570555520394866],[0, 0.7162224781403874],[0, 0.7696489405417798]
郑岩,[0, 1.7891632832089535],[0, 1.7171438686758944],[0, 1.1589147894370684],[0, 1.495629062223561],[0, 1.2021987495479576],[1, 1.554062879930258],[0, 1.0705278651850532],[0, 0.9340378265849734],[0, 1.130857241815056],[0, 1.763183189012138],[0, 1.0157096116462345],[1, 1.7198320592839942],[1, 1.8444066716123269],[0, 1.1907649314105604],[0, 1.0720951298436159],[1, 1.1266685336912594],[0, 1.2195473419192078],[0, 0.9115427934380055],[0, 1.7421266636690844],[0, 1.7660667783445105]
朱娜,[0, 1.1940782786910715],[0, 1.5230175021528072],[0, 0.8206888286793529],[0, 1.7137536150665265],[0, 0.8121903298680417],[0, 1.5674052160597287],[0, 0.90271547922198],[0, 1.7192040207357975],[0, 1.1103014985234267],[0, 1.2430143600458057],[0, 1.516609954073139],[0, 0.9682344881835627],[0, 1.0629860461842986],[0, 0.8595890801156169],[0, 1.719939460603412],[0, 1.0012993483342272],[0, 1.2343691870742264],[0, 1.086477758097982],[0, 1.5218608245365859],[0, 1.6243417210455853]
黄建平,[0, 1.0697258950371054],[0, 1.360054118574792],[0, 0.9126057704812643],[0, 0.5873947671305705],[0, 1.2742435275830637],[0, 1.291168247059558],[0, 0.9268408876284203],[0, 1.3468321984774154],[0, 1.3650019251166663],[0, 0.7929679335515218],[0, 0.5453015763764631],[0, 0.5995274149111715],[0, 0.6750009813276939],[0, 1.2710718325622736],[0, 0.8579466852435497],[0, 1.4353952479885788],[0, 0.9151368168832826],[0, 1.1485931737205786],[0, 1.2840426083915268],[0, 1.0649286490356533]
武慧,[0, 0.5422399207520818],[0, 0.7377200014219751],[0, 0.999219839597923],[0, 0.5527653777775181],[0, 1.186487490278405],[0, 0.646804106490807],[0, 1.307411595948026],[0, 0.8305727011893784],[0, 0.6503045276624337],[0, 0.8607989620811105],[0, 1.2072196439089202],[0, 0.4307839397684418],[0, 0.614098651329168],[0, 1.3185710176441536],[0, 0.4164158579766592],[0, 0.8124695085610221],[0, 1.0582874406198435],[0, 0.9735788205108411],[0, 0.46281065870109755],[0, 0.9532351481656927]
刘玉英,[0, 1.8226905419377415],[0, 1.718923299338863],[0, 1.8255130989706914],[0, 1.7829299379301067],[0, 0.9454835587547274],[0, 1.2681907000467445],[0, 1.4290038084777243],[0, 1.206849528067388],[0, 1.7063260352395169],[0, 1.3768264187455896],[0, 0.9524845088844882],[0, 1.330958758777114],[0, 1.236107433815255],[0, 0.9355504152064947],[0, 1.3676658136916493],[0, 0.94765569483491],[0, 1.269433547523098],[0, 1.668765676281643],[0, 1.6807331986715033],[1, 1.7272431578485872]
姚兰英,[0, 1.313967710808321],[0, 1.2763302209189917],[0, 1.8001166416970427],[0, 1.781901314636254],[0, 0.8207649360650232],[0, 1.1380898465308842],[0, 1.4753438670606354],[0, 1.6333590891126528],[0, 1.7879455026640465],[1, 1.3910518100718088],[0, 1.7280692831555706],[0, 1.0259350804455285],[0, 1.7905215715250824],[0, 1.4762783436441667],[0, 1.0452244516751406],[0, 1.7514867117045771],[0, 0.9314797988768818],[0, 0.9620757994425783],[0, 1.2425620152003338],[0, 1.6478937597604362]
马晨,[0, 0.6587233890920228],[0, 1.0254864792293192],[0, 1.1171075497145453],[0, 0.7483645630342368],[0, 0.6041803763208875],[0, 0.7268738638121337],[0, 0.9136740123889266],[0, 0.49393374227638803],[0, 1.0291178203630604],[0, 0.607284903061823],[0, 0.8955285863956353],[0, 0.9135329235486487],[0, 1.2795183343037384],[0, 1.0322076317507245],[0, 1.3087868169401495],[0, 0.8081058697278418],[0, 0.7624577659452931],[0, 0.8988466897424556],[0, 0.8903054699719357],[0, 0.5794288137968773]
钟杰,[0, 0.7773684913684902],[0, 0.9038612161393366],[0, 0.8336523078059319],[0, 1.1519881084581653],[0, 1.2894509999196417],[0, 0.7892524099307611],[0, 1.6393998256897475],[0, 0.9408664662560854],[0, 0.7695452781058879],[0, 1.22045727547065],[0, 0.9045187333068438],[0, 0.8022580166616026],[0, 0.9100477265135639],[0, 1.0244491709699042],[0, 1.1454158990246177],[0, 1.2174312670288903],[0, 1.5139771125298953],[0, 0.8970304302475831],[0, 1.2309586976022575],[0, 0.7931151388595709]
周桂英,[0, 1.4083989419423144],[0, 1.1818179590211715],[0, 1.222919173612099],[0, 1.196043568449419],[0, 1.6410573312032959],[0, 1.0644164765627455],[0, 1.1045419434953347],[0, 1.3566737724341995],[0, 1.589791968645917],[0, 1.456962190856682],[0, 1.5526343690526403],[0, 1.0787055852060905],[0, 0.8079223317918355],[0, 1.530078918127224],[0, 1.1868749203907196],[0, 1.1327124954332102],[0, 1.5693227024427583],[0, 1.4656158722870076],[0, 1.3145509447422352],[0, 0.9875441207077378]
胡晨,[0, 1.1478804390711832],[0, 1.4666302569962737],[0, 1.5271483493412474],[1, 1.6162126670309007],[0, 1.7794499828121677],[0, 1.599353568115452],[0, 1.8877779453235193],[1, 1.3347520402054074],[0, 1.7090717913678328],[0, 1.5052636504269694],[0, 1.8433821021241412],[1, 1.2516576073380716],[0, 1.319295450169819],[0, 1.2842439867157627],[0, 1.6687755672432183],[0, 1.1078381338888534],[1, 1.1025977618035425],[0, 1.7370334280271815],[0, 1.532715494122318],[0, 1.7421615566718067]
曹秀云,[0, 0.7064128940597609],[0, 0.5390008090892187],[0, 0.5754446178755914],[0, 1.1424549242197288],[0, 1.255995222415075],[0, 1.108144076853108],[0, 0.6777352648275785],[0, 0.47735903661317153],[0, 1.0118427130889658],[0, 1.1566038930488012],[0, 0.9041117318892207],[0, 0.7651110495381239],[0, 0.9213123744685336],[0, 0.6914513015223749],[0, 1.257319037205122],[0, 0.8151973828980323],[0, 0.9682465597414438],[0, 1.45781179268318],[0, 0.8167114095275954],[0, 0.8935311453422823]
李冬梅,[0, 0.7799583978098001],[0, 1.2077928026390434],[0, 0.9021561461836547],[0, 1.1274565483536891],[0, 0.8955523544298627],[0, 0.7394175105101821],[0, 0.8759203044059063],[0, 1.10491909181908],[0, 0.7984082727965636],[0, 0.835113639350143],[0, 0.5491914738332229],[0, 1.1627551524009379],[0, 1.0010405423653321],[0, 0.9062831411493004],[0, 0.6434454191650905],[0, 0.4477869317586846],[0, 0.7560262581274966],[0, 0.9126598976379006],[0, 1.1255560805955538],[0, 0.7606195846408317]
宋春梅,[0, 1.4602569354891437],[0, 1.3045932232928021],[0, 0.9990014667251298],[0, 1.557832842211465],[0, 0.948266492273556],[0, 1.0984074617534385],[0, 0.8893406783689102],[0, 0.8839844359181483],[0, 1.7906220091177252],[0, 1.61668690561535],[0, 1.1452169728858492],[0, 1.5864074281989535],[0, 1.4013725377880073],[0, 1.5311042872215528],[0, 1.6680520728246369],[0, 1.6516130323811398],[0, 1.05553057211978],[0, 1.1719263858626028],[0, 1.1903942958316458],[0, 1.5637206734059133]
萧淑珍,[0, 0.7799499512544144],[0, 0.8889672369156103],[0, 0.3708030855900865],[0, 0.9714771919182768],[0, 1.1859229364857313],[0, 0.5454741844234776],[0, 0.41014864750152064],[0, 0.6223593671151462],[0, 1.2174503445019111],[0, 1.015053244736979],[0, 1.0614465840815637],[0, 0.34918924656613665],[0, 1.052965066698914],[0, 0.6278950169198139],[0, 0.609763574776577],[0, 0.8050039951503207],[0, 0.8289158799599885],[0, 0.5652430822415104],[0, 1.1410789664858936],[0, 1.1927765942708588]
王建华,[0, 1.246648696111268],[0, 1.8015595029325873],[0, 1.7700714962860016],[0, 1.8101541277361717],[1, 1.658654690630423],[1, 1.9626688679507018],[1, 1.9320391521192484],[0, 1.6147276295612665],[0, 1.1610054461628116],[1, 1.5226020085885867],[0, 1.4056442180707251],[0, 1.4172555308817536],[0, 1.703448692984627],[0, 1.5518252817215241],[0, 1.1836587951952244],[0, 1.4468977000788907],[0, 1.0190985428150157],[0, 1.0518748281172774],[1, 1.1962358989436646],[0, 1.6455236291190962]
覃红霞,[0, 1.035455790055391],[1, 1.6886799355594748],[1, 1.929607118343874],[0, 1.82530201741883],[0, 1.3606994116087547],[0, 0.9503679568781775],[0, 1.5648111492818604],[0, 1.147752036129574],[0, 1.3065401171381263],[0, 1.0593748241241698],[0, 1.110191892455221],[0, 1.031673826099167],[0, 1.178935389737861],[0, 1.7044845742963548],[1, 0.9927133565273282],[0, 0.974424500034654],[0, 1.2629304464561542],[0, 0.9830358286376654],[0, 1.8925491749821475],[1, 1.434746283978964]
林鑫,[0, 1.6357863176994005],[0, 1.7392106606693643],[0, 1.4567550677121974],[0, 1.370924812003397],[0, 1.0546290575431734],[0, 1.4721965194034778],[0, 1.0115223749058315],[0, 1.3865016653263542],[0, 1.5868476014560478],[0, 1.4613007407567413],[0, 0.8395115392664952],[0, 1.554515431857995],[0, 1.36424639992696],[0, 1.4576557394243412],[0, 1.5837957225409913],[0, 1.5764896571540836],[0, 1.5954360818893967],[0, 1.1664185898271715],[0, 1.0442156668555678],[0, 0.9360505503915308]
吴俊,[0, 0.995882818812497],[0, 1.3157212821213897],[0, 0.6269060195380206],[0, 0.5685525644881881],[0, 0.5798745953031387],[0, 0.6009479690543055],[0, 0.791937741168289],[0, 1.0231595814022632],[0, 0.8977358694958849],[0, 1.1649904430026727],[0, 0.9444905983204731],[0, 0.8695491357886292],[0, 0.6289117257167458],[0, 1.2323267990906184],[0, 0.6532187274905117],[0, 0.9558524654346625],[0, 0.46839394737848405],[0, 0.8253608843218423],[0, 0.7723564234962741],[0, 1.1052859573166596]
刘娟,[0, 1.5253959202633416],[0, 1.670179135509391],[0, 1.2356620212046594],[0, 1.403820068774996],[0, 1.5141889814233256],[0, 0.9424559157664841],[0, 1.009752638755261],[0, 1.0241860325981405],[0, 1.3966949411482183],[0, 0.7390808299175486],[0, 1.5606546668417645],[0, 1.7375284652369012],[0, 1.4611386027020798],[0, 1.5994720085839749],[0, 1.0452576667135807],[0, 1.0799704377002826],[0, 1.7215588072961752],[0, 1.2829615997812949],[0, 1.5619030019993543],[0, 1.6577190471136336]
郭敏,[0, 0.6460165428971709],[0, 0.33739204881620827],[0, 0.4472785669195775],[0, 0.39515162355912387],[0, 0.6988337022094504],[0, 0.37171594489899645],[0, 1.2512122030431683],[0, 0.7007976223421131],[0, 0.3385725857083562],[0, 0.7509437319840213],[0, 0.6180774703116498],[0, 0.7203675104816769],[0, 0.7900540430723237],[0, 0.6045611676617912],[0, 0.7914485176199828],[0, 1.13775819518049],[0, 0.8143919122662904],[0, 0.2957286983115142],[0, 0.9400106105048671],[0, 0.7637190556785758]
李凯,[0, 1.7690199328858909],[0, 1.1135636416731984],[0, 1.7356574506927909],[0, 1.6718506198666379],[0, 0.8417261122405169],[0, 0.8763944977778975],[0, 1.0991166323829133],[0, 1.6437098392872018],[0, 1.3706686195729545],[0, 1.7238427988660932],[0, 1.8327730766443389],[0, 1.1690575473600686],[0, 0.913050043390996],[0, 1.6860246525508749],[0, 1.6532675922122038],[0, 1.3386607187403714],[0, 1.1564790289295495],[0, 1.279140956093382],[0, 1.0856302683676957],[0, 1.4724161732941679]
蔡平,[0, 1.2489818565505697],[0, 1.4525036516340886],[0, 1.5287129899006278],[0, 1.50261419401866],[0, 0.924206932680883],[0, 1.5804107930557776],[0, 1.5072369174264204],[0, 0.972713914700451],[0, 1.556743245991862],[0, 1.5301901486332126],[1, 1.247934191008815],[0, 0.944939529487441],[0, 1.6323804024248336],[0, 1.1346016750906984],[0, 1.0090924086702557],[0, 1.5783147828052115],[0, 1.499185086518116],[0, 1.3720937107820084],[0, 1.7497003873427848],[0, 1.6101001549967777]
陈瑞,[0, 0.9466786044152316],[0, 1.2683187310902582],[0, 1.7901074713546863],[0, 1.590930806191787],[0, 1.6935418862258782],[0, 1.4369108690488832],[0, 1.005314444783866],[0, 1.0806893355846812],[1, 1.3564058016650087],[0, 0.9823088725751378],[0, 1.7508918499185502],[0, 1.2694451526094321],[0, 1.118897547608835],[0, 0.9556172023849938],[0, 1.0707175586379392],[0, 0.9164847577269194],[0, 1.7078705184125336],[0, 1.4808411557416346],[0, 1.5772847589468633],[0, 1.6179357157270124]
司建平,[0, 1.0123714141457474],[0, 0.946226321509547],[0, 0.4350025294344544],[0, 0.29668290179055545],[0, 1.1758934576657891],[0, 0.3062585546648183],[0, 0.738746302656657],[0, 1.0236322169069627],[0, 0.5083155992411816],[0, 0.5850831728079048],[0, 0.6498197650519111],[0, 0.4725233352504058],[0, 0.6226017423203711],[0, 0.49083091496839837],[0, 0.8071429094996124],[0, 1.1139928370790728],[0, 0.4984232225880999],[0, 0.36266492941975237],[0, 0.9147516915443937],[0, 1.2741678970742636]
